img_path,question,answer
gag/theargylesweater/0_August_12_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/1_May_31_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5;4
gag/theargylesweater/2_October_31_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/3_March_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/4_April_26_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,
gag/theargylesweater/5_December_29_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/6_April_22_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/7_November_07_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4;3
gag/theargylesweater/8_November_08_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
gag/theargylesweater/9_October_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/10_May_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3;2
gag/theargylesweater/11_March_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3;2
gag/theargylesweater/12_June_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3;5
gag/theargylesweater/13_November_29_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/14_December_22_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/15_Feburary_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/16_October_05_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
gag/theargylesweater/17_December_28_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/18_September_17_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/19_July_02_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/20_July_03_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/21_September_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/22_October_09_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/23_December_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4;0
gag/theargylesweater/24_June_03_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2;0
gag/theargylesweater/25_Feburary_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/26_June_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/27_October_30_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2;3
gag/theargylesweater/28_Feburary_27_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/29_November_24_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/30_November_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/31_June_24_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/32_November_15_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/33_November_28_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/34_October_17_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/35_October_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/36_December_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2;5
gag/theargylesweater/37_October_08_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/38_April_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/39_November_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/40_August_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/41_October_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/42_June_15_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/43_September_24_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,0
gag/theargylesweater/44_September_09_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/45_August_05_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
gag/theargylesweater/46_June_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/47_September_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/48_December_02_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/49_August_06_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/50_November_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/51_September_03_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/52_September_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/53_July_21_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/54_November_02_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/55_March_11_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
gag/theargylesweater/56_August_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
gag/theargylesweater/57_August_08_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/58_April_24_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
gag/theargylesweater/59_April_05_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
gag/theargylesweater/60_May_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/0_April_09_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/1_June_15_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/2_July_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/3_April_11_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/4_November_11_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/5_April_27_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/6_April_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/7_May_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/8_September_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/9_October_03_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/10_June_29_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/11_November_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/12_August_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/13_November_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/14_August_27_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/15_December_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/16_October_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/17_December_17_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/18_October_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/19_August_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/20_July_12_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/21_September_03_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/22_December_19_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/23_December_07_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/24_November_02_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/25_December_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/26_April_19_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/27_Feburary_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/28_June_06_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/29_September_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/30_September_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
office/the-born-loser/31_November_30_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/32_December_31_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
office/the-born-loser/33_November_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/34_May_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/35_March_09_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/36_October_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/37_December_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/38_August_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/39_August_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/40_December_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
office/the-born-loser/41_July_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/42_October_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/43_September_27_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/44_September_08_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/45_May_03_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/46_November_06_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/47_October_15_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/48_May_10_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/49_October_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/50_May_17_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/51_September_26_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/52_July_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/53_May_30_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/54_October_19_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/55_June_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/56_March_17_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/57_November_07_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/58_September_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
office/the-born-loser/59_June_30_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/60_July_31_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
office/the-born-loser/61_Feburary_24_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/2_July_28_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/3_April_22_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/5_May_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/6_March_24_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/7_June_29_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
political/lisabenson/8_September_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/9_September_29_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
political/lisabenson/10_July_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2;1
political/lisabenson/11_November_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/12_August_17_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/13_November_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/14_September_05_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/15_November_27_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/16_October_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/17_December_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/18_October_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/19_August_31_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/20_July_31_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/21_September_08_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/22_December_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/23_December_01_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
political/lisabenson/24_October_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/25_December_11_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,0
political/lisabenson/26_May_15_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,0
political/lisabenson/27_Janurary_06_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
political/lisabenson/28_July_12_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/29_September_14_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,0
political/lisabenson/30_September_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/31_November_23_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3
political/lisabenson/32_December_28_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,4
political/lisabenson/33_November_22_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/35_March_03_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,5
political/lisabenson/36_October_09_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/38_August_16_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/39_August_29_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,0
political/lisabenson/40_December_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/41_August_09_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,0
political/lisabenson/42_October_03_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,0
political/lisabenson/43_September_25_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/44_September_11_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/45_June_05_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/46_October_26_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/47_October_05_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,3;4
political/lisabenson/48_June_15_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/49_October_11_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/50_July_05_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
political/lisabenson/51_September_20_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/52_August_04_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,0
political/lisabenson/53_July_06_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/54_October_13_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,1
political/lisabenson/55_July_18_2018.jpg,How many unique characters (with a face and/or body) are in this comic? (Put 5 if there are more than 5).,2
